Armstrong County Memorial Hospital,Armstrong County Memorial Hospital ,Kittanning,250965237
Ursinus College,Ursinus College,Collegeville,231177930
The Guthrie Clinic,The Guthrie Clinic,Syre,233055017
Point Park University,Point Park University,Pittsburgh,251094922
Willow Valley Communities,Willow Valley Communities,Lancaster,232226098
Upmc Chautauqua At Wca,Upmc Chautauqua At Wca ,Pittsburgh,160743226
Upmc Lititz,Upmc Lititz ,Pittsburgh,820844453
Lebanon Valley College,Lebanon Valley College,Annville,231352354
Northwest Behavioral Health Partnership Inc,Northwest Behavioral Health Partnership Inc,New Castle,300177624
St Lukes Health Network Inc,St Lukes Health Network Inc,Bethlehem,232384282
Wayne Memorial Hospital,Wayne Memorial Hospital,Honesdale,240798839
Lancaster General Health,Lancaster General Health,Lancaster,232250941
Greater Delaware Valley Society Of Transplant Surgeons,Greater Delaware Valley Society Of Transplant Surgeons ,Philadelphia,237388767
Wellspan Surgery And Rehabilitation Hospital,Wellspan Surgery And Rehabilitation Hospital,York,232899911
Fund For Charitable Giving,Fund For Charitable Giving,Pittsburgh,43296043
Agora Cyber Charter School,Agora Cyber Charter School,King Of Prussia,412170569
Saint Francis University,Saint Francis University,Loretto,251024358
American Bible Society,American Bible Society,Philadelphia,131623885
Alvernia University,Alvernia University,Reading,231522643
Saint Vincent College,Saint Vincent College,Latrobe,250964126
University Of The Arts,University Of The Arts,Philadelphia,231639911
Carnegie Institute,Carnegie Institute,Pittsburgh,250965280
Marywood University,Marywood University,Scranton,240795453
Brothers Brother Foundation,Brothers Brother Foundation ,Pittsburgh,346562544
Upmc,Upmc ,Pittsburgh,240802108
Gaudenzia Inc,Gaudenzia Inc,Norristown,231706895
Carbon Schiylkill Community Hospital Inc,Carbon Schiylkill Community Hospital Inc ,Allentown,251550350
Melmark Inc,Melmark Inc,Berwyn,236399542
Philadelphia Corporation For Aging,Philadelphia Corporation For Aging,Philadelphia,231905649
Central Pennsylvania Food Bank,Central Pennsylvania Food Bank,Harrisburg,232202250
Mercy Life Center Corporation,Mercy Life Center Corporation,Pittsburgh,251604115
Gwynedd Mercy University,Gwynedd Mercy University,Gwynedd Vly,231352613
Waynesboro Hospital,Waynesboro Hospital,York,231360854
Philadelphia Post Acute Partnersllc,Philadelphia Post Acute Partnersllc ,Allentown,208283421
